AssignmentStatus,WorkTimeInSeconds,Input.case,Input.query,Input.title,Input.link,Input.imglink,Input.snippet_A,Input.snippet_B,Answer.better,Answer.case,Answer.query,Answer.quest
Approved,137,2,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Projecting Game System : EBTH,https://www.ebth.com/items/4279849-arcadia-electronic-skeet-shoot-projecting-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_3.png,"<p>An Arcadia Electronic Skeet Shoot Projecting Game System. This was released in 1998 by Toymax. This includes the game counsel with a projector, a pump action rifle, a duck hunting game and an outer space theme game.</p>",<p>In 1998 Toymax released an Arcadia Electronic Skeet Shoot Projecting Game System. This was an outer space themed game. It was projected and played with the use of a pump action rifle and a duck.</p>,2,2|2,Electronic Skeet Shoot,a
Approved,30,2,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Projecting Game System : EBTH,https://www.ebth.com/items/4279849-arcadia-electronic-skeet-shoot-projecting-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_3.png,"<p>An Arcadia Electronic Skeet Shoot Projecting Game System. This was released in 1998 by Toymax. This includes the game counsel with a projector, a pump action rifle, a duck hunting game and an outer space theme game.</p>",<p>In 1998 Toymax released an Arcadia Electronic Skeet Shoot Projecting Game System. This was an outer space themed game. It was projected and played with the use of a pump action rifle and a duck.</p>,2,2|2,Electronic Skeet Shoot,o
Approved,82,2,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Projecting Game System : EBTH,https://www.ebth.com/items/4279849-arcadia-electronic-skeet-shoot-projecting-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_3.png,"<p>An Arcadia Electronic Skeet Shoot Projecting Game System. This was released in 1998 by Toymax. This includes the game counsel with a projector, a pump action rifle, a duck hunting game and an outer space theme game.</p>",<p>In 1998 Toymax released an Arcadia Electronic Skeet Shoot Projecting Game System. This was an outer space themed game. It was projected and played with the use of a pump action rifle and a duck.</p>,1,2|2,Electronic Skeet Shoot,s
Approved,126,2,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Projecting Game System : EBTH,https://www.ebth.com/items/4279849-arcadia-electronic-skeet-shoot-projecting-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_3.png,"<p>An Arcadia Electronic Skeet Shoot Projecting Game System. This was released in 1998 by Toymax. This includes the game counsel with a projector, a pump action rifle, a duck hunting game and an outer space theme game.</p>",<p>In 1998 Toymax released an Arcadia Electronic Skeet Shoot Projecting Game System. This was an outer space themed game. It was projected and played with the use of a pump action rifle and a duck.</p>,1,2|2,Electronic Skeet Shoot,o
Approved,103,2,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Projecting Game System : EBTH,https://www.ebth.com/items/4279849-arcadia-electronic-skeet-shoot-projecting-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_3.png,"<p>An Arcadia Electronic Skeet Shoot Projecting Game System. This was released in 1998 by Toymax. This includes the game counsel with a projector, a pump action rifle, a duck hunting game and an outer space theme game.</p>",<p>In 1998 Toymax released an Arcadia Electronic Skeet Shoot Projecting Game System. This was an outer space themed game. It was projected and played with the use of a pump action rifle and a duck.</p>,g,2|2,Electronic Skeet Shoot,o
Approved,117,3,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Projecting Game System : EBTH,https://www.ebth.com/items/4279849-arcadia-electronic-skeet-shoot-projecting-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_3.png,"<p>An Arcadia Electronic Skeet Shoot Projecting Game System. This was released in 1998 by Toymax. This includes the game counsel with a projector, a pump action rifle, a duck hunting game and an outer space theme game.</p>","<p>In 1998 Toymax came out with an Arcadia Electronic Skeet Shoot Projecting Game System. The game comes with a projector, pump action rifle, duck hunting game, and an outer space theme game.</p>",2,3|3,Electronic Skeet Shoot,a
Approved,20,3,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Projecting Game System : EBTH,https://www.ebth.com/items/4279849-arcadia-electronic-skeet-shoot-projecting-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_3.png,"<p>An Arcadia Electronic Skeet Shoot Projecting Game System. This was released in 1998 by Toymax. This includes the game counsel with a projector, a pump action rifle, a duck hunting game and an outer space theme game.</p>","<p>In 1998 Toymax came out with an Arcadia Electronic Skeet Shoot Projecting Game System. The game comes with a projector, pump action rifle, duck hunting game, and an outer space theme game.</p>",1,3|3,Electronic Skeet Shoot,s
Approved,110,3,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Projecting Game System : EBTH,https://www.ebth.com/items/4279849-arcadia-electronic-skeet-shoot-projecting-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_3.png,"<p>An Arcadia Electronic Skeet Shoot Projecting Game System. This was released in 1998 by Toymax. This includes the game counsel with a projector, a pump action rifle, a duck hunting game and an outer space theme game.</p>","<p>In 1998 Toymax came out with an Arcadia Electronic Skeet Shoot Projecting Game System. The game comes with a projector, pump action rifle, duck hunting game, and an outer space theme game.</p>",1,3|3,Electronic Skeet Shoot,a
Approved,26,3,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Projecting Game System : EBTH,https://www.ebth.com/items/4279849-arcadia-electronic-skeet-shoot-projecting-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_3.png,"<p>An Arcadia Electronic Skeet Shoot Projecting Game System. This was released in 1998 by Toymax. This includes the game counsel with a projector, a pump action rifle, a duck hunting game and an outer space theme game.</p>","<p>In 1998 Toymax came out with an Arcadia Electronic Skeet Shoot Projecting Game System. The game comes with a projector, pump action rifle, duck hunting game, and an outer space theme game.</p>",1,3|3,Electronic Skeet Shoot,s
Approved,87,3,Electronic Skeet Shoot,Arcadia Electronic Skeet Shoot Projecting Game System : EBTH,https://www.ebth.com/items/4279849-arcadia-electronic-skeet-shoot-projecting-game-system,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/Electronic Skeet Shoot_3.png,"<p>An Arcadia Electronic Skeet Shoot Projecting Game System. This was released in 1998 by Toymax. This includes the game counsel with a projector, a pump action rifle, a duck hunting game and an outer space theme game.</p>","<p>In 1998 Toymax came out with an Arcadia Electronic Skeet Shoot Projecting Game System. The game comes with a projector, pump action rifle, duck hunting game, and an outer space theme game.</p>",1,3|3,Electronic Skeet Shoot,a
Approved,45,4,The Nile River,The Vanishing Nile: A Great River Faces a Multitude of Threats ...,http://e360.yale.edu/features/vanishing-nile-a-great-river-faces-a-multitude-of-threats-egypt-dam,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_0.png,"<p>Things are not looking good for the Nile River.  There is a huge dam being built upstream, in Ethiopia.  Downstream rising sea levels are funneling saltwater into the river.</p>",<p>The Nile River is under assault on two fronts – a massive dam under construction upstream in Ethiopia and rising sea levels leading to saltwater intrusion downstream.</p>,2,4|4,The Nile River,o
Approved,62,4,The Nile River,The Vanishing Nile: A Great River Faces a Multitude of Threats ...,http://e360.yale.edu/features/vanishing-nile-a-great-river-faces-a-multitude-of-threats-egypt-dam,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_0.png,"<p>Things are not looking good for the Nile River.  There is a huge dam being built upstream, in Ethiopia.  Downstream rising sea levels are funneling saltwater into the river.</p>",<p>The Nile River is under assault on two fronts – a massive dam under construction upstream in Ethiopia and rising sea levels leading to saltwater intrusion downstream.</p>,b,4|4,The Nile River,o
Approved,57,4,The Nile River,The Vanishing Nile: A Great River Faces a Multitude of Threats ...,http://e360.yale.edu/features/vanishing-nile-a-great-river-faces-a-multitude-of-threats-egypt-dam,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_0.png,"<p>Things are not looking good for the Nile River.  There is a huge dam being built upstream, in Ethiopia.  Downstream rising sea levels are funneling saltwater into the river.</p>",<p>The Nile River is under assault on two fronts – a massive dam under construction upstream in Ethiopia and rising sea levels leading to saltwater intrusion downstream.</p>,1,4|4,The Nile River,o
Approved,56,4,The Nile River,The Vanishing Nile: A Great River Faces a Multitude of Threats ...,http://e360.yale.edu/features/vanishing-nile-a-great-river-faces-a-multitude-of-threats-egypt-dam,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_0.png,"<p>Things are not looking good for the Nile River.  There is a huge dam being built upstream, in Ethiopia.  Downstream rising sea levels are funneling saltwater into the river.</p>",<p>The Nile River is under assault on two fronts – a massive dam under construction upstream in Ethiopia and rising sea levels leading to saltwater intrusion downstream.</p>,2,4|4,The Nile River,a
Approved,12,4,The Nile River,The Vanishing Nile: A Great River Faces a Multitude of Threats ...,http://e360.yale.edu/features/vanishing-nile-a-great-river-faces-a-multitude-of-threats-egypt-dam,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_0.png,"<p>Things are not looking good for the Nile River.  There is a huge dam being built upstream, in Ethiopia.  Downstream rising sea levels are funneling saltwater into the river.</p>",<p>The Nile River is under assault on two fronts – a massive dam under construction upstream in Ethiopia and rising sea levels leading to saltwater intrusion downstream.</p>,2,4|4,The Nile River,s
Approved,55,5,The Nile River,The Vanishing Nile: A Great River Faces a Multitude of Threats ...,http://e360.yale.edu/features/vanishing-nile-a-great-river-faces-a-multitude-of-threats-egypt-dam,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_0.png,<p>The Nile River is under assault on two fronts – a massive dam under construction upstream in Ethiopia and rising sea levels leading to saltwater intrusion downstream.</p>,<p>There are two major issues facing the health of the Nile River.  Upstream there is a dam being constructed in Ethiopia.  Downstream there are rising sea levels causing saltwater intrusion.</p>,2,5|5,The Nile River,o
Approved,181,5,The Nile River,The Vanishing Nile: A Great River Faces a Multitude of Threats ...,http://e360.yale.edu/features/vanishing-nile-a-great-river-faces-a-multitude-of-threats-egypt-dam,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_0.png,<p>The Nile River is under assault on two fronts – a massive dam under construction upstream in Ethiopia and rising sea levels leading to saltwater intrusion downstream.</p>,<p>There are two major issues facing the health of the Nile River.  Upstream there is a dam being constructed in Ethiopia.  Downstream there are rising sea levels causing saltwater intrusion.</p>,1,5|5,The Nile River,a
Approved,26,5,The Nile River,The Vanishing Nile: A Great River Faces a Multitude of Threats ...,http://e360.yale.edu/features/vanishing-nile-a-great-river-faces-a-multitude-of-threats-egypt-dam,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_0.png,<p>The Nile River is under assault on two fronts – a massive dam under construction upstream in Ethiopia and rising sea levels leading to saltwater intrusion downstream.</p>,<p>There are two major issues facing the health of the Nile River.  Upstream there is a dam being constructed in Ethiopia.  Downstream there are rising sea levels causing saltwater intrusion.</p>,2,5|5,The Nile River,o
Approved,214,5,The Nile River,The Vanishing Nile: A Great River Faces a Multitude of Threats ...,http://e360.yale.edu/features/vanishing-nile-a-great-river-faces-a-multitude-of-threats-egypt-dam,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_0.png,<p>The Nile River is under assault on two fronts – a massive dam under construction upstream in Ethiopia and rising sea levels leading to saltwater intrusion downstream.</p>,<p>There are two major issues facing the health of the Nile River.  Upstream there is a dam being constructed in Ethiopia.  Downstream there are rising sea levels causing saltwater intrusion.</p>,2,5|5,The Nile River,o
Approved,96,5,The Nile River,The Vanishing Nile: A Great River Faces a Multitude of Threats ...,http://e360.yale.edu/features/vanishing-nile-a-great-river-faces-a-multitude-of-threats-egypt-dam,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_0.png,<p>The Nile River is under assault on two fronts – a massive dam under construction upstream in Ethiopia and rising sea levels leading to saltwater intrusion downstream.</p>,<p>There are two major issues facing the health of the Nile River.  Upstream there is a dam being constructed in Ethiopia.  Downstream there are rising sea levels causing saltwater intrusion.</p>,1,5|5,The Nile River,o
Approved,141,6,The Nile River,Mystery On The Nile: Just Whose River Is It? : NPR,http://www.npr.org/templates/story/story.php?storyId=129940072,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_1.png,<p>This will be the first of a total of three parts. As with most great stories beginning is the end and the end is the beginning. Throughout history the Nile River was a mystery amongst the world. The mystery of the Nile is thought to be more than a thousand years old.</p>,"<p>First of three parts. All great mysteries begin at the end and end at the very beginning. And for thousands of years, the Nile River was perhaps the world’s greatest mystery.</p>",1,6|6,The Nile River,o
Approved,174,6,The Nile River,Mystery On The Nile: Just Whose River Is It? : NPR,http://www.npr.org/templates/story/story.php?storyId=129940072,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_1.png,<p>This will be the first of a total of three parts. As with most great stories beginning is the end and the end is the beginning. Throughout history the Nile River was a mystery amongst the world. The mystery of the Nile is thought to be more than a thousand years old.</p>,"<p>First of three parts. All great mysteries begin at the end and end at the very beginning. And for thousands of years, the Nile River was perhaps the world’s greatest mystery.</p>",1,6|6,The Nile River,o
Approved,59,6,The Nile River,Mystery On The Nile: Just Whose River Is It? : NPR,http://www.npr.org/templates/story/story.php?storyId=129940072,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_1.png,<p>This will be the first of a total of three parts. As with most great stories beginning is the end and the end is the beginning. Throughout history the Nile River was a mystery amongst the world. The mystery of the Nile is thought to be more than a thousand years old.</p>,"<p>First of three parts. All great mysteries begin at the end and end at the very beginning. And for thousands of years, the Nile River was perhaps the world’s greatest mystery.</p>",b,6|6,The Nile River,o
Approved,199,6,The Nile River,Mystery On The Nile: Just Whose River Is It? : NPR,http://www.npr.org/templates/story/story.php?storyId=129940072,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_1.png,<p>This will be the first of a total of three parts. As with most great stories beginning is the end and the end is the beginning. Throughout history the Nile River was a mystery amongst the world. The mystery of the Nile is thought to be more than a thousand years old.</p>,"<p>First of three parts. All great mysteries begin at the end and end at the very beginning. And for thousands of years, the Nile River was perhaps the world’s greatest mystery.</p>",2,6|6,The Nile River,s
Approved,14,6,The Nile River,Mystery On The Nile: Just Whose River Is It? : NPR,http://www.npr.org/templates/story/story.php?storyId=129940072,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_1.png,<p>This will be the first of a total of three parts. As with most great stories beginning is the end and the end is the beginning. Throughout history the Nile River was a mystery amongst the world. The mystery of the Nile is thought to be more than a thousand years old.</p>,"<p>First of three parts. All great mysteries begin at the end and end at the very beginning. And for thousands of years, the Nile River was perhaps the world’s greatest mystery.</p>",1,6|6,The Nile River,s
Rejected,25,6,The Nile River,Mystery On The Nile: Just Whose River Is It? : NPR,http://www.npr.org/templates/story/story.php?storyId=129940072,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_1.png,<p>This will be the first of a total of three parts. As with most great stories beginning is the end and the end is the beginning. Throughout history the Nile River was a mystery amongst the world. The mystery of the Nile is thought to be more than a thousand years old.</p>,"<p>First of three parts. All great mysteries begin at the end and end at the very beginning. And for thousands of years, the Nile River was perhaps the world’s greatest mystery.</p>",b,6|6,The Nile River,o
Approved,138,7,The Nile River,Mystery On The Nile: Just Whose River Is It? : NPR,http://www.npr.org/templates/story/story.php?storyId=129940072,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_1.png,"<p>First of three parts. All great mysteries begin at the end and end at the very beginning. And for thousands of years, the Nile River was perhaps the world’s greatest mystery.</p>",<p>Part one of three. They say good mysteries begin at the end and end at the beginning. The Nile River has been thought to be the world's greatest mystery for thousands of years.</p>,2,7|7,The Nile River,o
Approved,60,7,The Nile River,Mystery On The Nile: Just Whose River Is It? : NPR,http://www.npr.org/templates/story/story.php?storyId=129940072,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_1.png,"<p>First of three parts. All great mysteries begin at the end and end at the very beginning. And for thousands of years, the Nile River was perhaps the world’s greatest mystery.</p>",<p>Part one of three. They say good mysteries begin at the end and end at the beginning. The Nile River has been thought to be the world's greatest mystery for thousands of years.</p>,g,7|7,The Nile River,o
Approved,26,7,The Nile River,Mystery On The Nile: Just Whose River Is It? : NPR,http://www.npr.org/templates/story/story.php?storyId=129940072,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_1.png,"<p>First of three parts. All great mysteries begin at the end and end at the very beginning. And for thousands of years, the Nile River was perhaps the world’s greatest mystery.</p>",<p>Part one of three. They say good mysteries begin at the end and end at the beginning. The Nile River has been thought to be the world's greatest mystery for thousands of years.</p>,g,7|7,The Nile River,a
Approved,51,7,The Nile River,Mystery On The Nile: Just Whose River Is It? : NPR,http://www.npr.org/templates/story/story.php?storyId=129940072,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_1.png,"<p>First of three parts. All great mysteries begin at the end and end at the very beginning. And for thousands of years, the Nile River was perhaps the world’s greatest mystery.</p>",<p>Part one of three. They say good mysteries begin at the end and end at the beginning. The Nile River has been thought to be the world's greatest mystery for thousands of years.</p>,2,7|7,The Nile River,o
Approved,57,7,The Nile River,Mystery On The Nile: Just Whose River Is It? : NPR,http://www.npr.org/templates/story/story.php?storyId=129940072,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_1.png,"<p>First of three parts. All great mysteries begin at the end and end at the very beginning. And for thousands of years, the Nile River was perhaps the world’s greatest mystery.</p>",<p>Part one of three. They say good mysteries begin at the end and end at the beginning. The Nile River has been thought to be the world's greatest mystery for thousands of years.</p>,1,7|7,The Nile River,s
Approved,116,8,The Nile River,Nile - Ancient History Encyclopedia,http://www.ancient.eu/nile/,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_2.png,"<p>The world’s longest river, located in Egypt, the Nile flows 4,132 miles (6,650 kilometres) northward to the Mediterranean Sea (a very unusual direction for a river to take).</p>","<p>The Nile is the worlds largest river. It is located in Egypt and flows 4,132 miles ( 6,650 kilometers north, an unusual direction for a river, and empties into the Mediterranean Sea.</p>",2,8|8,The Nile River,o
Approved,9,8,The Nile River,Nile - Ancient History Encyclopedia,http://www.ancient.eu/nile/,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_2.png,"<p>The world’s longest river, located in Egypt, the Nile flows 4,132 miles (6,650 kilometres) northward to the Mediterranean Sea (a very unusual direction for a river to take).</p>","<p>The Nile is the worlds largest river. It is located in Egypt and flows 4,132 miles ( 6,650 kilometers north, an unusual direction for a river, and empties into the Mediterranean Sea.</p>",2,8|8,The Nile River,s
Approved,57,8,The Nile River,Nile - Ancient History Encyclopedia,http://www.ancient.eu/nile/,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_2.png,"<p>The world’s longest river, located in Egypt, the Nile flows 4,132 miles (6,650 kilometres) northward to the Mediterranean Sea (a very unusual direction for a river to take).</p>","<p>The Nile is the worlds largest river. It is located in Egypt and flows 4,132 miles ( 6,650 kilometers north, an unusual direction for a river, and empties into the Mediterranean Sea.</p>",g,8|8,The Nile River,s
Approved,23,8,The Nile River,Nile - Ancient History Encyclopedia,http://www.ancient.eu/nile/,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_2.png,"<p>The world’s longest river, located in Egypt, the Nile flows 4,132 miles (6,650 kilometres) northward to the Mediterranean Sea (a very unusual direction for a river to take).</p>","<p>The Nile is the worlds largest river. It is located in Egypt and flows 4,132 miles ( 6,650 kilometers north, an unusual direction for a river, and empties into the Mediterranean Sea.</p>",2,8|8,The Nile River,s
Approved,154,8,The Nile River,Nile - Ancient History Encyclopedia,http://www.ancient.eu/nile/,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_2.png,"<p>The world’s longest river, located in Egypt, the Nile flows 4,132 miles (6,650 kilometres) northward to the Mediterranean Sea (a very unusual direction for a river to take).</p>","<p>The Nile is the worlds largest river. It is located in Egypt and flows 4,132 miles ( 6,650 kilometers north, an unusual direction for a river, and empties into the Mediterranean Sea.</p>",g,8|8,The Nile River,a
Approved,67,9,The Nile River,Nile - Ancient History Encyclopedia,http://www.ancient.eu/nile/,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_2.png,"<p>The worlds longest river, situated in Egypt, Nile streams 4,132 miles(6,650 kilometres) northward to the Mediterranean sea( and exceptionally surprising bearing for a stream to take).</p>","<p>The world’s longest river, located in Egypt, the Nile flows 4,132 miles (6,650 kilometres) northward to the Mediterranean Sea (a very unusual direction for a river to take).</p>",g,9|9,The Nile River,m
Approved,39,9,The Nile River,Nile - Ancient History Encyclopedia,http://www.ancient.eu/nile/,https://www.uni-weimar.de/medien/webis/tmp/snippet_generation_AMT_images/The Nile River_2.png,"<p>The worlds longest river, situated in Egypt, Nile streams 4,132 miles(6,650 kilometres) northward to the Mediterranean sea( and exceptionally surprising bearing for a stream to take).</p>","<p>The world’s longest river, located in Egypt, the Nile flows 4,132 miles (6,650 kilometres) northward to the Mediterranean Sea (a very unusual direction for a river to take).</p>",1,9|9,The Nile River,o
