AssignmentStatus,WorkTimeInSeconds,Input.document,Input.case,Answer.answer,Answer.case
Approved,297,"<p>The problem with this story is that a valley is the opposite of a hip and valley tiles are also tapered like hip tiles, so why are valley tiles not called hips? Tapered hip tiles are still available in Europe but here in the UK we have opted for straight hip tiles for use with interlocking tiles and slates, and with plain tiles where the rafter pitches are different.</p>",92,"Have you ever wondered why valley tiles are not referred to as hips, since a valley is the polar opposite of a hip? One may find the tapered tiles in Europe but in the UK onlt the straight hip tiles are available for use with linked tiles, slates and plain tiles.",92
Approved,1093,"<p>Many small and large organizations are getting CMS functionality from wikis. Indeed there may be more of these CMS-lite tools than there are CMS themselves. Many Wiki sites have surpassed 10,000 downloads and thousands of registered users. See the Information's Architect's Wiki for an example of how wikis are used, with a lot of valuable information for designing a CMS.</p>",68,"Wikis are now providing CMS abilities to a wide spectrum of organizations. They've become abundant, popular, and well-utilized, with many wiki sites now claiming user bases and downloads in the thousands. This popularity serves the wiki concept well, as their collaborative construction means a strong user base is able to build a strong wiki. An example of this is the Information Architect's Wiki, which has been filled with great insights on designing a CMS.",68
Approved,201,"<p>Learn poker rules and betting methods of different poker games. Holdem Poker cut off Strategy: Many poker players don't think there is much difference between those hands because with either an A 7 or A 2 , you are probably out-kicked if there is an Ace on the board and they reason an A 2 has a chance at a straight,</p>",120,"Look here to find out about poker rules and various betting methods in different types of poker. In Hold'em poker, there is a strategy called cutoff. A lot of players do not think there is a great deal of difference between thos hands. The reason is that with either an A7 or A2, there is a high probability to be out-kicked if there is an Ace on the board.",120
Approved,215,<p>Had this occurred an alternative mission profile was developed. An unmanned CSM/LM stack would be launched into orbit atop a Saturn V. Then a manned CSM ferry fitted with a drogue docking unit would be launched atop a Saturn 1b. The ferry would rendezvous and dock with the CSM/LM stack and after a crew transfer be jettisoned prior to the TLI burn.</p>,132,"In case of this event, there was a contingency plan.  A Saturn V rocket could carry a CSM/LM stack into orbit, without crew.  A Saturn 1b would then carry a manned CSM vehicle equipped with a drogue chute, which would dock with the stack.  The crew would then be transferred and the CSM ferry jettisoned before the TLI burn.",132
Approved,119,"<p>The types of data displays that can be created using spreadsheet software include frequency tables, bar graphs, double bar graphs, number line plots, and line graphs. Fifth graders interpret and analyze data containing fractions, whole numbers and decimals. They describe data in terms of mean, median and range.</p>",178,"As part of this curriculum, fifth graders will learn to interpret and analyze data containing fractions, whole numbers and decimals, using various types of spreadsheet software.  The data will be analyzed using frequency tables, bar graphs, double bar graphs, number line plots, and line graphs. Data will be described in terms of mean, median and range.",178
Approved,185,"<p>Madison County commissioners upheld their December denial of a beer and wine license for a convenience store at Hwy. 29 and Glenn Carrie Road. Alcohol cannot be sold at the store now. The group voted 3-0 Jan. 17 to stand by their denial of a license for Food Mart requested by new owner Zaira Hernandez Duarte, owner of HH Armando LLC d/b/a Food Mart. </p>",60,Madison County commissioners voted 3-0 to uphold their denial of an alcohol license for Food Mart requested by Zaira Hernandez Duarte.,60
Approved,371,"<p>The carpenter bee got its name from mining wood, similar to carpenter ants. There are several varieties of these bees. The majority of carpenter bees are large, around 3/4”, and primarily black with a green or purple sheen to them. Some unique features include a patch of yellow, orange, or white hair on the thorax, and a shiny abdomen.</p>",100,"Carpenter bees like carpenter ants are named as such because they have in common mining wood. There are a number of different types of carpenter bees. Most carpenter bees are considerably large measuring about 3/4 "" long.  They are generally black in color with a slight green or purple tint. They have some particular features including a thorax colored with a small area of yellow, orange or white. The abdomen is very shiny.",100
Approved,265,"<p>The scientific format may seem confusing for the beginning science writer due to its rigid structure which is so different from writing in the humanities. One reason for using this format is that it is a means of efficiently communicating scientific findings to the broad community of scientists in a uniform manner. Another reason, perhaps more important than the first, is that this format allows the paper to be read at several different levels.</p>",176,The structured nature of scientific writing allows for dissemination of information in a concise manner to scientists with a variety of backgrounds and levels of training. The constraints of scientific writing can often seem foreign to a writer who is more comfortable with the style of writing used in the humanities.,176
Approved,131,<p>Quotes on hair and hair loss. I love bald men. Just because you've lost your fuzz don't mean you ain't a peach. Dolly Parton. It is one of the most beautiful compensations of life that no man can sincerely try help another without also helping himself. Ralph Waldo Emerson. There's one thing about baldness -- its neat.</p>,103,"Quotes on hair and balding:

I prefer men who are bald, lack of fuzz does not make one any less of a peach! (a paraphrase of Dolly Parton).

A great thing about life is that altruism implies self-benefit (a paraphrase of Ralph Waldo Emerson).

An upside to baldness is that it implies neatness.",103
Approved,510,<p>'John Edwards' essay for Foreign Affairs - Reengaging with the World - is the sixth in Britain And America's series of summaries of the worldviews of leading presidential candidates. The Iraq war was one of the greatest strategic failures in US history: ''We must move beyond the wreckage created by one of the greatest strategic failures in U.S. history.'</p>,61,'John Edwards' essay about Foreign Affairs- Reengaging with the entire world. Placed sixth in England plus America's collection of summaries of the world's opinion of leading presidential candidates. The Iraq war was one of the best strategic flop in American history: We must continue moving beyond the damage created by one of the worst failures in American history.',61
Approved,172,"<p>'A regression threat, also known as a ''regression artifact'' or ''regression to the mean'' is a statistical phenomenon that occurs whenever you have a nonrandom sample from a population and two measures that are imperfectly correlated. The figure shows the regression to the mean phenomenon. The top part of the figure where their pretest mean is -- clearly, it is considerably below the population average.'</p>",175,"Regression artifacts, also known as regression threats or a ""regression to the mean"", occur in statistics when there is a non-random sample and a non-perfect correlation between two measures of this sample.  This diagram illustrates the phenomenon.  Have a look near the top of the figure.  It is obvious that the pretest mean is far below the average for the sample!",175
Approved,141,"<p>Common Dreams We Share. alone Commonplace dreams that we all share are a way of connection. On of the most unexplainable parts of dreaming are Chinese, Japanese, Indian, Canadian, Brazilian people of our world can share the same dreams. I am sure that you have spoken to another dreamer and discussed having the same dream!</p>",119,"We all share common dreams. It is a way in which are daily lives help decipher what we went through. Dreaming in another language like Chinese, Japanese, Indian, Canadian, Brazilian is normal. Those who's native language these are can share the same types of dreams based on their day and personality. I am positive you spoke to another person and have discussed sharing similar dreams.",119
Approved,567,"<p>Let us begin with the brilliant work of Walter Martin. We will list several helpful links of those who have spent the time and effort to address the claims of the J.W.'s. If you have any good links, please let us know.</p>",163,"First, let us consider the distinguished work of Walter Martin. Listed below are some links of scholars who spent substantial time and energy devoted to J.W.'s assertions. Please contact us if you have other pertinent links.",163
Approved,129,"<p>There are fewer things worse in life than a painful, throbbing cavity. A severely abscessed tooth, however, is hands down one of them. The pain, swelling and overall discomfort is something that no one should have to deal with ever! Unfortunately, like many other dental maladies and conditions, abscesses are a part of life.</p>",73,"While a painful, throbbing cavity is awful, a severely abscessed tooth is far worse.  No one should have to deal with that level of suffering!  The abscess is swollen, painful, intensely uncomfortable.  But this too is a part of life, like many other kinds of dental illness.",73
Approved,212,"<p>Treatments Individuals with progressive hair loss have a number of options available to them. Our dermatologic surgeons specializing are uniquely qualified to diagnose the cause of hair loss and recommend a treatment. Because each case of hereditary baldness differs in severity and the position of the natural hairline, dermatologic surgeons have refined the range of anti-balding techniques in order to tailor treatment to suit the individual.</p>",105,"Every case of hereditary baldness has a different hairline and level of severity.  Fortunately, there are a variety of treatments available to patients with hair loss. Our dermatologic surgeons are experts in diagnosing the etiology of hair loss and are able to deliver targeted treatments for every patient that they treat.",105
Approved,167,"<p>HOLES by Louis Sachar “It was all because of his no-good-dirty-rotten-pig-stealing great-great-grandfather!” Yeah, right, blame it on the dead. It was easy doing so when the dead can no longer defend themselves from the present.</p>",89,One review of 'Holes' concludes that the culprit was the great-great grandfather who was also a pig thief. People find it easy to blame those who have passed as they unable to respond.,89
Approved,149,"<p>To replace the hard-to-decipher Food Pyramid, the USDA has made MyPlate - its successor - visually illustrative to help people keep track of how much to eat of each food group. Their new site, ChooseMyPlate.gov, offers many new features such as healthy recipes, daily tips for healthy eating, and personalized diet plans based on your size, age, and activity level.</p>",57,"The US Department of Agriculture released MyPlate to replace Food Pyramid.  It is a visual guide that helps people understand nutrition, food groups, and how much to eat of each type of food.  The website, ChooseMyPlate.gov, also includes healthy recipes, suggestions for healthy nutrition, and diet plans that can be personalized based on age, weight and amount of physical activity.",57
Approved,385,"<p>Since it's launch, Million Dollar Wiki has already become a micro-economy of pages filled with informative, entertaining and resourceful content.</p><p>increase their website's traffic, improve their website's SEO, develop their name, build their web presence, or make a profit from resale of the page at a later date.</p>",66,"Following its introduction, the many pages making up Million Dollar Wiki have grown into a mini-economy of valuable information and entertainment resources.

Expand the visitors to the website, refine the site's SEO, widen knowledge of their company identity, foster growth of their existence online, or realize profits from reselling the page at some point in the future.",66
Approved,175,"<p>Eat stop eat to loss weight - 10 Flax Seed Benefits and Nutrition Facts - In Just One Day This Simple Strategy Frees You From Complicated Diet Rules. </p><p>This green fruit contains high levels of Vitamin and Folic Acid, which stimulate the production of a brain chemical that usually runs low in depressed people.</p>",127,"Flax seeds are a green fruit that are high in Vitamin and Folic Acid.  These vitamins stimulate the production of a brain chemical that can run low in people suffering from depression.  

Just adding 10 flax seeds a day to your diet and help in weight loss.  It is a simple and effective way to achieve weight loss without the complicated rules of some diets.",127
Approved,318,"<p>The Answer to Phobia Of Bald. Fast, Effective and Guaranteed. If you're like most people who live with this fear, you probably wonder if you can ever be rid of it. After 10 years working with people with the most severe phobias, we know for sure: there's no question you can overcome phobia of bald.</p>",106,"The solution to the fear of losing one's hair. Quick, effectual and sure to work. If you're the same as the rest of the population who are saddled with this concern, you most likely wrestle with wondering if you'll ever rise above it. Following a decade helping those with the very worst fears, we are now positive: without any uncertainty, people can shed their terror over shedding their hair.",106
Approved,328,"<p>To attain ketosis, you need to eat a diet that is very low in carbohydrate (amounts will vary depending on the plan you are following and the stage of that plan you are on, but to begin with can be as low as 20 grams a day). This means your diet is based mostly on fat, protein, and green vegetables which make up most of the carbs you eat but give you vital nutrition.</p>",130,"If you want to attain ketosis, then you should eat a diet that doesn't have a lot of carbs. The exact amount you should be eating depends on the plan you use and what stage of the plan you're at. Typically you start out with 20 grams per day. You're diet will be mostly fat, protein, and green veggies.",130
Approved,161,"<p>Barrett's syndrome occurs when the esophagus changes so that its lining forms a new type of cell. As this eMedTV page explains, the condition causes no symptoms; however, it can sometimes precede the development of a rare but deadly form of cancer.</p>",78,"When the esophagus changes in certain way and forms new cells, it is called Barrett's Syndrome. This eMedTV article tells us that the conditions doesn't actually cause any symptoms. Although it sometimes leads to a rare but deadly form of cancer.",78
Approved,369,"<p>WomensForum.com is an online community for women covering family, food, health, home and living, beauty and style, entertainment, do-it-yourself, shopping, and seasonal and national topics.</p>",51,"WomensForum.com is an internet based group of females discussing all aspects of life, family, country and entertainment.",51
Approved,1171,"<p>Meaning in Relating - The point I am making in this series of articles is this: everything in life is not only a growth opportunity, but more importantly is a sign-post to how I am living my life. </p><p>I suggested that four areas (sexuality (1), (2), relationships, vocation, and self-responsibility) could be looked at for guidance on how our lives are progressing, and that the four needed to be no less than neutral in feel, and to be in balance.</p>",174,"""Meaning in Relating"" - In this series of articles I will demonstrate that everything that happens in one's life is a clue to how well they are living, as well as an opportunity for personal growth.

If we look at our lives from the perspective of our sexual experiences, our relationships, our careers and our self-care, we can understand how well we are moving forward in life. Continual and balanced progress in all four areas is necessary; no one area should either be neglected or allowed to be predominant.",174
Approved,184,<p>Presidential candidate names are deciphered is a page about the hopeful candidates for the Presidential election in November 2016 as they become known or who ran in 2012 and could be interested again for 2016. They appear in alphabetical order and each one has their name deciphered to show what their name tells us that the media does not.</p>,65,"A list of possible presidential candidates is made from those who have indicated that they are interested in running, as well as those who ran in 2012 and might want to run again in 2016. The names are in alphabetical order and are deciphered, which shows what their names tell us that we might not be able to find out from other sources.",65
Approved,85,"<p>Used to treat schizophrenia and bipolar disorder, Zyprexa is a drug that affects chemicals in the brain. This eMedTV Web page provides a brief overview of this drug and its possible side effects. Ziprexa is a common misspelling of Zyprexa.</p>",143,"Zyprexa is a type of psychoactive medication that is used to treat schizophrenia and bipolar disorder.  On this eMedTV page, we give a short summary of this drug's action and potential side effects.  The name Zyprexa is often mispelled as Ziprexa.",143
Approved,257,"<p>The cross hip roof allows for more complex house layout as opposed to the standard hip roof, but the most popular variation is the L-shaped home where the intersecting roofs form a right angle. Hip roofs are typically the safest of roofing types, and despite their gentler slopes they shed water, snow, and ice efficiently.</p>",94,"Although they have gentler slopes, Hip roofs do not allow for collection of water, snow, or ice.  For more unique home layouts, the cross hip roof is an excellent option.  For instance, a cross hip roof can have two intersecting roofs at a right angle to accomodate an L-shaped home.",94
Approved,530,"<p>This bee is commonly 2/3 to 1 inch long, usually with a shiny abdomen and a yellow thorax. Its look-alike cousins (bumble bees) have a fuzzy abdomen. Although it is rare to be stung by one, their sheer size is scary and people generally stay clear of them. Bumble bees do not bore into wood, as do carpenter bees.</p>",99,"This yellow chested bee is large at almost an inch long.  Their size might seem intimidating, but they rarely sting a person.  These are related and similar to a bumble bee, but they are not woolly on their stomachs.  Carpenter bees get their name from drilling into wood.",99
Approved,155,<p>Reviews; Holes by Louis Sachar from N. Matson; Fun Connections. Did you notice that the name Stanley Yelnats is a palindrome? Find examples on the Internet and create your own. Visit Palindromes from DiscoverySchool. Use the following websites for other ideas: English.</p>,87,"Reviews:
Holes (Louis Sachar)
By N. Matson of Fun Connections.

Stanley Yelnats' name is a palindrome.  Did you spot that?  You can find more examples on the Web, and even construct your own at DiscoverySchool's Palindromes.

More ideas can be obtained from these sites:  English",87
Approved,201,"<p>Louis Sachar is an award-winning author of twenty-five books for children and young adults. His book, Holes, won the prestigious National Book Award and the Newbery Medal. Discover more about Louis and his books on this site. Start exploring.</p>",86,The award-winning Louis Sachar has written twenty-five books for young adults and children. Sachar won the prestigious New Berry Medal and National Book Award for his novel Holes. Start exploring this site to learn more about the many books of Louis Sachar.,86
Approved,220,"<p>Health & Safety Datasheet for the handling of Sealed Lead Acid Batteries (VRLA). The Sealed Lead Acid batteries supplied by Multicell International Ltd are totally sealed therefore do not present a hazard in the context of the COSHH regulations. ProvidedProvided these batteries are not subject to physical or electrical abuse they are safe to use and will not present any health hazards. Our SLA batteries fall into UL 1989 (standby Batteries). UL 1989  requires that the battery is free from the hazard of bursting, that is, when the battery is overcharged the vent valve opens to release internal pressure.</p>",157,"HSDS for Sealed Lead Acid Batteries (VRLA)

The devices supplied by Multicell International LTD are not hazardous according to COSHH regulations, as they are completely sealed.  As long as the batteries are used properly (not physically mishandled or subjected to unsafe electrical stress), they are not hazardous to health and safety.  The batteries fall into the UL 1989 category (standby Batteries).  This category indicates that the battery is safe from bursting, which means that it includes a vent valve that relieves pressure in the event of overcharge.",157
Approved,206,"<p>I recently read a book called Pretty Girl In Crimson Rose, an autobiography interweaved with interesting stories about crosswords. One such anecdote is about a remarkable crossword puzzle published in the New York Times in 1996. I looked it up on the net and (bless Google) found the puzzle online.</p>",64,"Not long ago, I read ""Pretty Girl In Crimson Rose,"" an autobiographical work which includes narrative accounts of crosswords.  One of these stories is about a 1996 crossword from the New York Times.  I Googled this particular puzzle, and actually found it online.",64
Approved,518,"<p>In this message I sent to his dad, thinking it was Sandy, I told him my life history for the past 35 years, and I told him I remembered fondly the night we painted the water tower, and the time someone and I (I think maybe it was Tim McArtor) broke into the principal's office and rifled the files to ascertain Sandy's middle name.</p>",62,"I assumed I corresponded to Sandy telling him everything over the last 35 years.  I rehashed our fun and youthful escapades like when graffiti the water tower.  Also, how I was so determined to find out his middle name I got my friend Tim to help me burglarize the Principal's office files.  This was sent to Sandy's father instead.",62
Approved,186,"<p>Fidel Castro. Revolution can only be carried out by the dictatorship of the proletariat, because the State must be in the hands of the classes who have been oppressed up to this time. The State is a force at the service of the interests of the dominant class. For example, the Greek City State, that dawn of democracy, was the domain of a class that held the slaves under subjection by the repressive forces of the State. </p>",148,"Fidel Castro said that only the dictatorship of the proletariat can succeed in the Revolution, because the machinery of the state cannot be trusted with any class but the one that was previously oppressed.  Prior to the Revolution, the State is a mechanism of oppression that serves the exploiter class; e.g., at the birth of democracy, the Greek city-state was controlled by the slave-holding class, and state repression was used to enforce the subjugation of slaves.",148
Approved,409,"<p>Dr. Henry M. Morris, father of the modern creation science movement, devoted his life to upholding the accuracy and authority of God's Word. Combining scientific knowledge with a thorough understanding of Scripture, he clearly and succinctly combated the errors of evolution. In the article below, Dr. Morris highlights evolution’s false claims, using the words of evolutionists themselves.</p>",111,"The article below shows that Dr. Henry M. Morris has made it his life-purpose to point out evolution's false claims. He uses the evolutionary scientist's own words to prove they are incorrect. Dr. Morris has been called the father of the present creation scientist movement. He believes in the absolute correctness and authority of the Bible. As a scientist, he combines science with God's Word to explain the truth of creationism and point out the errors of evolution.",111
Approved,219,"<p>Third, evolutionary game theory, as an explicitly dynamic theory, provides an important element missing from the traditional theory. The concept of a Nash equilibrium (see the entry on game theory) has been the most used solution concept in game theory since its introduction by John Nash in 1950.</p>",121,"The next point is that evolutionary game theory, which is an example of a dynamic theory, contributes something one does not normally find in traditional theories. Since Joh Nash introduced the idea of Nash equilibrium in 1950 it has been the most used concept in game theory.",121
Approved,1049,"<p>A dental abscess is a collection of pus that can form inside the teeth, in the gums, or in the bone that holds the teeth in place. It's caused by a bacterial infection. An abscess at the end of a tooth is called a periapical abscess. An abscess in the gum is called a periodontal abscess. Dental abscesses are often painful, but aren't always.</p>",76,"A tooth abscess is a buildup of pus that can be found inside the teeth, in the gums, or in the mandible. This happens when a bacterial infection takes place in the mouth. Abscesses at the end of a tooth is called a periapical abscess. Tooth or dental abscesses are often painful, but in cases are not.",76
Approved,193,"<p>Hair Loss book detailing inexpensive and cheap hair loss treatments and hair growth ingredients for combating the causes of male pattern baldness, female hair loss, thinning hair, a receding hairline, and alopecia. Learn how our hair loss books are right for you for the prevention and cure of your thin hair.</p>",102,"In this book about hair loss you can learn about how to fight hair loss for men and women, as well as fighting thinning of hair. The remedies are affordable and easy to use. Check this book out to see if it can help you with your hair loss or thinning!",102
Approved,175,"<p>Decra, the UK and Ireland's leading lightweight roofing system, is backed by comprehensive technical support, offering you expert advice and information at every stage of a project - from initial concept through to completion and planned maintenance.</p>",95,"Being Ireland and the UK's leading lightweight roofing system, Decra is backed by great technically support. Decra offers expert advice and intelligent info at every single stage of a project. They can lead you from begin concepts through completion and routine maintenance.",95
Approved,300,"<p>A Permanent Solution to Phalacrophobia. Does phalacrophobia have a serious impact on your life? It may not seem possible, but after more than a decade working with the most severe fears and phobias we have yet to come across someone with a case of phalacrophobia that couldn't be overcome.</p>",107,"Is there a permanent solution to phalacrophobia. Is your life adversely affected by  phalacrophobia?   After over ten years working with people who have some of the most serious phobias and fears,  we can state that we have never encountered anyone with phalacrophobia that could not be addressed and overcome.",107
Approved,161,<p>We bought a house last summer and we found that we have carpenter bees in the gazebo (we have not found any holes in the deck itself). Most of the holes were plugged with metal bolts. Nothing was sprayed inside the holes. We plan on buying some DRIONE DUST and the CRUSADER HAND DUSTER.</p>,98,"We found carpenter bees in the gazebo of our new house, which we bought last summer. We found several holes in the gazebo, most of which were plugged with metal bolts with nothing sprayed inside. There are no holes in the deck however. We'll be buying DRIONE DUST and the CRUSADER HAND DUSTER.",98
Approved,302,"<p>Old Home Remedies. Throughout history, there have been many natural cures that have been discovered to treat almost every ailment that exists. These natural cures rely on using safe and natural products such as food, vitamins and herbs to treat illnesses and injuries. Many families have a home remedy or natural cure that has been passed down from generation to generation that is treasured for its simplistic and effective nature.</p>",104,"We often here of family lineages involving the passage of genes, and sometimes stories, from one generation to the next. However, families often pass down beliefs about one or more methods of homeopathic medicine as well. Simple cures, such as taking Vitamin C or eating an apple a day, appeal to individuals due to their effectiveness and ease of procurement.",104
Approved,427,"<p>Last month, several fast food chains made headlines when they said they would stop using so-called “pink slime” filler added to ground beef. The slime is also accused of being in grocery store-bought beef. Texas grocery giant H-E-B, however, has officially denied adding the pink slime to their ground beef, KSAT reports.</p>",170,A number of fast food chain restaurants were prominently featured in the news for making the decision to cease adding what is commonly referred to as pink slime filler to their ground beef products. The pink slime filler is also alleged to be a common additive by grocery stores in their ground beef.  The large grocery chain H-E-B has issued an official denial that it adds pink slime filler to it's ground beef products according to reports by KAST.,170
Approved,309,"<p>Top. Preface. Since the late 1950s NASA has devoted itself to the acquisition and communication of information about the Earth, the planets, the stars, and the Universe. It has launched an impressive series of spectacularly successful exploration missions and numerous Earth-orbiting satellites that have added to an immense, growing pool of useful knowledge about terrestrialresources, weather and climatic patterns, global cartography, and the oceans.</p>",135,"The success of NASA's missions and satellites that orbit Earth have bolstered the knowledge of the planet's land and marine resources, cartography, climate, and weather, since the end of the 1950s, The organization is dedicated to acquiring and disseminating information on the solar system and the Universe.",135
Approved,141,"<p>Common side effects of quetiapine include dry mouth and drowsiness. This eMedTV article lists both common and rare side effects seen with the drug, as well as side effects that should be reported immediately to your healthcare provider.</p>",142,"According to this eMedTV article, common side effects of quetiapine include dry mouth and drowsiness. The article also lists other common and rare side effects with this drug, including those that should be reported immediately to your doctor.",142
Approved,158,"<p>In addition to game theory, economic theory has three other main branches: decision theory, general equilibrium theory and mechanism design theory. All are closely connected to game theory. Decision theory can be viewed as a theory of one person games, or a game of a single player against nature. The focus is on preferences and the formation of beliefs.</p>",122,"The theory of economics has four main branches:  game theory, decision theory, mechanism design theory, and general equilibrium theory.  These four branches have connections to game theory; for example, decision theory is equivalent to game theory as applied to one-person games, or a ""player versus environment"" scenario, with a focus on how beliefs and preferences are created.",122
Approved,214,"<p>It was launched from Earth in 1989. It arrived at Jupiter in 1995. Then, after touring the Jovian system for eight years, the Galileo spacecraft was intentionally flown into the giant gas planet on September 21, 2003, bringing to an end a mission that had spanned some 30 years from concept through mission execution. Despite an array of difficulties, the spacecraft and the team behind it overcame numerous obstacles to give us a close-up look at Jupiter and its inner moons that was far more detailed than the glimpses afforded us by the earlier Voyager and Pioneer flybys.</p>",136,"The Galileo spacecraft was launched in 1989, arriving at Jupiter in 1995.  After eight years of exploration of the Jovian system, the spacecraft was disposed of by de-orbiting into Jupiter.  It was an end of a mission that took about 30 years, from the conceptual planning stages to completion.  The spacecraft and the mission team overcame numerous obstacles and difficulties, and gave us a wealth of close-up data on Jupiter and the Galilean moons, vastly improving upon the data available from the previous Voyager and Pioneer flyby missions.",136
Approved,395,"<p>First National Battery was established in 1931 when the first automotive batteries were produced in East London, South Africa. First National Battery is the leading manufacturer of lead acid batteries for automotive, mining motive power, standby, surface traction, forklift, mine lighting and renewable energy applications.</p>",161,"In 1931  in East London, South Africa a company was started. The name of the company is First National Battery. For the last 87 years the company has progressed significantly. The type of battery manufactured in this company is lead acid batteries. These types of batteries are used in several applications. Usage is by mining, surface traction, forklifts, vehicles, lights and renewable energy applications.",161
Approved,213,"<p>'The wiki will automatically make a hypertext link from the text you type in. You can make the link ''prettier'' by putting ''cover'' wording for the link in brackets. The cover wording will appear on the page, but the link will take the user to the URL when clicked on. Here's an example. This will be the link text How can I avoid the use of and use normal newline characters instead.'</p>",71,"This wiki makes hypertext links for you based on the text you type in. If you want the link to look nicer, you can use the ""cover"" wording for the link within brackets. Whatever you've put in the brackets is what will appear on the page. Let's give an example; the following will be the link text. ""How can I avoid the use of and use normal newline characters?""",71
