AssignmentStatus,WorkTimeInSeconds,Input.case,Input.check,Answer.case,Answer.check,Answer.comments,Answer.quest,Answer.result1-1,Answer.result1-2,Answer.result1-3,Answer.result2-1,Answer.result2-2,Answer.result2-3,Answer.result3-1,Answer.result3-2,Answer.result3-3,Answer.result4-1,Answer.result4-2,Answer.result4-3,Answer.result5-1,Answer.result5-2,Answer.result5-3
Approved,63,1,5iir,1,5iir,"Please leave a comment if you have any suggestions, questions or remarks",s,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant
Approved,36,80,3rir,80,3rir,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant
Approved,73,2,4rrr,2,4rrr,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant
Approved,73,2,4rrr,2,4rrr,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant
Approved,57,81,1rir,81,1rir,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant
Approved,102,81,1rir,81,1rir,"Please leave a comment if you have any suggestions, questions or remarks",s,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant
Approved,45,2,4rrr,2,4rrr,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant
Approved,64,3,2irr,3,2irr,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant
Approved,247,84,5iii,84,5iii,"Please leave a comment if you have any suggestions, questions or remarks",s,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,47,4,5iii,4,5iii,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,186,84,5iii,84,5iii,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,522,4,5iii,4,5iii,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,384,4,5iii,4,5iii,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,165,5,4iir,5,4iir,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant
Approved,530,5,4iir,5,4iir,"Please leave a comment if you have any suggestions, questions or remarks",s,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant
Approved,759,6,5iii,6,5iii,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,41,84,5iii,84,5iii,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,452,6,5iii,6,5iii,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,55,85,2rri,85,2rri,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant
Approved,506,85,2rri,85,2rri,"Please leave a comment if you have any suggestions, questions or remarks",o,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Irrelevant
Approved,275,6,5iii,6,5iii,"Please leave a comment if you have any suggestions, questions or remarks",s,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,46,158,1iri,158,1iri,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant
Approved,275,86,1rrr,86,1rrr,"Please leave a comment if you have any suggestions, questions or remarks",s,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant
Approved,160,7,1iir,7,1iir,Thanks,a,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant
Approved,202,86,1rrr,86,1rrr,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant
Approved,200,7,1iir,7,1iir,"Please leave a comment if you have any suggestions, questions or remarks",o,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,36,86,1rrr,86,1rrr,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant
Approved,986,8,5iii,8,5iii,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,283,158,1iri,158,1iri,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant
Approved,61,87,1rir,87,1rir,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant
Approved,43,158,1iri,158,1iri,"Please leave a comment if you have any suggestions, questions or remarks",o,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant
Approved,410,87,1rir,87,1rir,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant
Approved,370,8,5iii,8,5iii,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,322,87,1rir,87,1rir,"Please leave a comment if you have any suggestions, questions or remarks",s,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant
Approved,264,8,5iii,8,5iii,"Please leave a comment if you have any suggestions, questions or remarks",s,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,76,88,5rii,88,5rii,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant
Approved,42,9,2rri,9,2rri,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant
Approved,82,88,5rii,88,5rii,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant
Approved,1072,159,1rir,159,1rir,"Please leave a comment if you have any suggestions, questions or remarks",s,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,96,10,5rri,10,5rri,"Please leave a comment if you have any suggestions, questions or remarks",o,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant
Approved,55,88,5rii,88,5rii,"Please leave a comment if you have any suggestions, questions or remarks",o,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant
Approved,175,159,1rir,159,1rir,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant
Approved,129,89,1iii,89,1iii,"Please leave a comment if you have any suggestions, questions or remarks",s,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant
Approved,41,10,5rri,10,5rri,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant
Approved,824,159,1rir,159,1rir,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,722,160,3rrr,160,3rrr,"Please leave a comment if you have any suggestions, questions or remarks",o,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant
Approved,42,10,5rri,10,5rri,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant
Approved,71,161,4iii,161,4iii,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,268,89,1iii,89,1iii,"Please leave a comment if you have any suggestions, questions or remarks",s,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant
Approved,675,11,2iir,11,2iir,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant
Approved,268,90,5iir,90,5iir,"Please leave a comment if you have any suggestions, questions or remarks",s,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant
Approved,1117,162,1iir,162,1iir,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant
Approved,44,162,1iir,162,1iir,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Relevant
Approved,83,11,2iir,11,2iir,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant
Approved,710,162,1iir,162,1iir,"Please leave a comment if you have any suggestions, questions or remarks",o,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant
Approved,43,163,5irr,163,5irr,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant
Approved,399,12,4iii,12,4iii,"Please leave a comment if you have any suggestions, questions or remarks",m,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,312,12,4iii,12,4iii,"Please leave a comment if you have any suggestions, questions or remarks",s,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,237,90,5iir,90,5iir,"Please leave a comment if you have any suggestions, questions or remarks",o,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant
Approved,41,12,4iii,12,4iii,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,54,91,2irr,91,2irr,"Please leave a comment if you have any suggestions, questions or remarks",s,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant
Approved,80,13,2rrr,13,2rrr,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant
Approved,736,163,5irr,163,5irr,"Please leave a comment if you have any suggestions, questions or remarks",s,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant
Approved,83,13,2rrr,13,2rrr,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant
Approved,64,91,2irr,91,2irr,"Please leave a comment if you have any suggestions, questions or remarks",s,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant
Approved,136,13,2rrr,13,2rrr,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Relevant
Approved,33,14,5iri,14,5iri,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant
Approved,46,165,3irr,165,3irr,"Please leave a comment if you have any suggestions, questions or remarks",o,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant
Approved,283,92,3rir,92,3rir,"Please leave a comment if you have any suggestions, questions or remarks",m,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,159,165,3irr,165,3irr,"Please leave a comment if you have any suggestions, questions or remarks",o,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant
Approved,145,92,3rir,92,3rir,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant
Approved,272,166,4rir,166,4rir,"Please leave a comment if you have any suggestions, questions or remarks",s,Irrelevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant
Approved,318,15,5rii,15,5rii,"Please leave a comment if you have any suggestions, questions or remarks",s,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant
Approved,41,92,3rir,92,3rir,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant
Approved,548,166,4rir,166,4rir,My math (and hence the knowledge of mean) is not as good as I'd like to.,o,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant
Approved,136,15,5rii,15,5rii,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant
Approved,670,166,4rir,166,4rir,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant
Approved,160,93,3iri,93,3iri,"Please leave a comment if you have any suggestions, questions or remarks",s,Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Relevant
Approved,115,16,1iir,16,1iir,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant
Approved,673,167,5iri,167,5iri,"Please leave a comment if you have any suggestions, questions or remarks",o,Irrelevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant
Approved,67,16,1iir,16,1iir,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Relevant
Approved,53,167,5iri,167,5iri,"Please leave a comment if you have any suggestions, questions or remarks",o,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Relevant,Irrelevant
Approved,1106,93,3iri,93,3iri,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Relevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Irrelevant,Relevant
Approved,57,17,4iir,17,4iir,"Please leave a comment if you have any suggestions, questions or remarks",a,Relevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Irrelevant,Irrelevant,Relevant,Relevant,Relevant,Relevant
Approved,58,168,5rri,168,5rri,"Please leave a comment if you have any suggestions, questions or remarks",a,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Irrelevant
Approved,477,93,3iri,93,3iri,"Please leave a comment if you have any suggestions, questions or remarks",o,Relevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Irrelevant
